,emotion
265,Fear
266,Surprise
267,Surprise
268,Fear
269,Not classified
270,Sad
271,Sad
272,Angry
273,Fear
274,Not classified
275,Not classified
276,Fear
277,Not classified
278,Happy
279,Fear
280,Not classified
281,Sad
282,Not classified
283,Sad
284,Not classified
285,Not classified
286,Not classified
287,Happy
288,Happy
289,Fear
290,Angry
291,Not classified
292,Happy
293,Fear
294,Fear
295,Not classified
296,Not classified
297,Surprise
298,Fear
299,Fear
300,Happy
301,Happy
302,Sad
303,Not classified
304,Fear
305,Sad
306,Surprise
307,Fear
308,Not classified
309,Surprise
310,Fear
311,Surprise
312,Happy
313,Happy
314,Not classified
315,Sad
316,Not classified
317,Not classified
318,Surprise
319,Happy
320,Angry
321,Angry
322,Not classified
323,Happy
324,Not classified
325,Happy
326,Sad
327,Not classified
328,Surprise
329,Sad
330,Happy
331,Fear
332,Not classified
333,Surprise
334,Surprise
335,Not classified
336,Not classified
337,Sad
338,Fear
339,Angry
340,Angry
341,Not classified
342,Not classified
343,Not classified
344,Not classified
345,Surprise
346,Not classified
347,Not classified
348,Fear
349,Not classified
350,Fear
351,Fear
352,Not classified
353,Fear
354,Happy
355,Not classified
356,Happy
357,Fear
358,Fear
359,Fear
360,Fear
361,Surprise
362,Happy
363,Surprise
364,Fear
365,Sad
366,Happy
367,Sad
368,Not classified
369,Not classified
370,Surprise
371,Not classified
372,Not classified
373,Fear
374,Not classified
375,Not classified
376,Sad
377,Fear
378,Not classified
379,Surprise
380,Happy
381,Not classified
382,Not classified
383,Not classified
384,Sad
385,Happy
386,Fear
387,Sad
388,Fear
389,Happy
390,Fear
391,Surprise
392,Happy
393,Not classified
394,Not classified
395,Not classified
396,Surprise
397,Not classified
398,Not classified
399,Sad
400,Surprise
401,Fear
402,Happy
403,Surprise
404,Not classified
405,Surprise
406,Sad
407,Not classified
408,Sad
409,Not classified
410,Happy
411,Surprise
412,Sad
413,Not classified
414,Happy
415,Not classified
416,Sad
417,Sad
418,Not classified
419,Fear
420,Happy
421,Happy
422,Happy
423,Angry
424,Sad
425,Happy
426,Not classified
427,Not classified
428,Fear
429,Surprise
430,Surprise
431,Not classified
432,Surprise
433,Happy
434,Not classified
435,Surprise
436,Happy
437,Surprise
438,Sad
439,Not classified
440,Fear
441,Not classified
442,Not classified
443,Not classified
444,Surprise
445,Surprise
446,Sad
447,Fear
448,Surprise
449,Not classified
450,Surprise
451,Happy
452,Fear
453,Not classified
454,Not classified
455,Not classified
456,Happy
457,Not classified
458,Happy
459,Surprise
460,Surprise
461,Sad
462,Happy
463,Not classified
464,Surprise
465,Not classified
466,Not classified
467,Not classified
468,Fear
469,Angry
470,Surprise
471,Not classified
472,Surprise
473,Fear
474,Not classified
475,Happy
476,Fear
477,Not classified
478,Sad
479,Surprise
480,Fear
481,Fear
482,Not classified
483,Not classified
484,Sad
485,Surprise
486,Not classified
487,Happy
488,Not classified
489,Not classified
490,Fear
491,Surprise
492,Not classified
493,Not classified
494,Sad
495,Fear
496,Happy
497,Happy
498,Angry
499,Not classified
500,Sad
501,Fear
502,Not classified
503,Happy
504,Surprise
505,Angry
506,Happy
507,Not classified
508,Sad
509,Not classified
510,Not classified
511,Surprise
512,Happy
513,Not classified
514,Happy
515,Not classified
516,Fear
517,Not classified
518,Fear
519,Sad
520,Not classified
521,Happy
522,Surprise
523,Sad
524,Not classified
525,Surprise
526,Fear
527,Surprise
528,Fear
529,Not classified
530,Not classified
531,Not classified
532,Happy
533,Not classified
534,Sad
535,Fear
536,Sad
537,Not classified
538,Not classified
539,Not classified
540,Happy
541,Not classified
542,Angry
543,Happy
544,Fear
545,Fear
546,Not classified
547,Not classified
548,Not classified
549,Fear
550,Fear
551,Not classified
552,Sad
553,Fear
554,Happy
555,Not classified
556,Fear
557,Surprise
558,Angry
559,Fear
560,Not classified
561,Not classified
562,Happy
563,Not classified
564,Happy
565,Fear
566,Sad
567,Surprise
568,Surprise
569,Not classified
570,Fear
571,Angry
572,Not classified
573,Fear
574,Not classified
575,Not classified
576,Happy
577,Surprise
578,Not classified
579,Not classified
580,Happy
581,Not classified
582,Surprise
583,Not classified
584,Happy
585,Fear
586,Happy
587,Happy
588,Surprise
589,Not classified
590,Happy
591,Not classified
592,Not classified
593,Not classified
594,Surprise
595,Surprise
596,Surprise
597,Happy
598,Fear
599,Surprise
600,Sad
601,Not classified
602,Not classified
603,Not classified
604,Fear
605,Fear
606,Not classified
607,Surprise
608,Not classified
609,Happy
610,Fear
611,Surprise
612,Not classified
613,Happy
614,Not classified
615,Not classified
616,Not classified
617,Happy
618,Fear
619,Surprise
620,Surprise
621,Not classified
622,Not classified
623,Surprise
624,Not classified
625,Not classified
626,Happy
627,Sad
628,Sad
629,Fear
630,Surprise
631,Sad
632,Not classified
633,Not classified
634,Not classified
635,Happy
636,Surprise
637,Sad
638,Sad
639,Happy
640,Not classified
641,Happy
642,Surprise
643,Happy
644,Not classified
645,Happy
646,Not classified
647,Surprise
648,Happy
649,Not classified
650,Sad
651,Fear
652,Fear
653,Surprise
654,Happy
655,Angry
656,Not classified
657,Happy
658,Not classified
659,Surprise
660,Not classified
661,Surprise
662,Fear
663,Surprise
664,Surprise
665,Not classified
666,Not classified
667,Angry
668,Happy
669,Not classified
670,Not classified
671,Happy
672,Surprise
673,Happy
674,Happy
675,Surprise
676,Fear
677,Not classified
678,Surprise
679,Surprise
680,Sad
681,Sad
682,Surprise
683,Not classified
684,Not classified
685,Angry
686,Fear
687,Not classified
688,Sad
689,Not classified
690,Happy
691,Happy
692,Sad
693,Happy
694,Not classified
695,Not classified
696,Sad
697,Not classified
698,Not classified
699,Fear
700,Angry
701,Happy
702,Sad
703,Not classified
704,Not classified
705,Angry
706,Not classified
707,Fear
708,Sad
709,Happy
710,Surprise
711,Not classified
712,Not classified
713,Surprise
714,Fear
715,Not classified
716,Not classified
717,Happy
718,Happy
719,Not classified
720,Angry
721,Happy
722,Surprise
723,Surprise
724,Sad
725,Fear
726,Fear
727,Angry
728,Surprise
729,Fear
730,Surprise
731,Not classified
732,Surprise
733,Not classified
734,Not classified
735,Surprise
736,Not classified
737,Fear
738,Angry
739,Fear
740,Surprise
741,Angry
742,Happy
743,Surprise
744,Sad
745,Not classified
746,Happy
747,Surprise
748,Sad
749,Fear
750,Not classified
751,Surprise
752,Happy
753,Not classified
754,Happy
755,Sad
756,Sad
757,Not classified
758,Sad
759,Happy
760,Not classified
761,Not classified
762,Surprise
763,Fear
764,Not classified
765,Happy
766,Surprise
767,Not classified
768,Fear
769,Happy
770,Not classified
771,Sad
772,Angry
773,Happy
774,Not classified
775,Happy
776,Not classified
777,Happy
778,Not classified
779,Fear
780,Sad
781,Fear
782,Happy
783,Fear
784,Happy
785,Sad
786,Not classified
787,Happy
788,Angry
789,Surprise
790,Not classified
791,Fear
792,Sad
793,Fear
794,Surprise
795,Not classified
796,Not classified
797,Not classified
798,Happy
799,Not classified
800,Fear
801,Fear
802,Not classified
803,Not classified
804,Surprise
805,Not classified
806,Not classified
807,Fear
808,Sad
809,Angry
810,Sad
811,Fear
812,Fear
813,Not classified
814,Angry
815,Not classified
816,Sad
817,Happy
818,Not classified
819,Not classified
820,Not classified
821,Not classified
822,Not classified
823,Not classified
824,Surprise
825,Angry
826,Not classified
827,Happy
828,Fear
829,Not classified
830,Surprise
831,Not classified
832,Not classified
833,Surprise
834,Angry
835,Angry
836,Not classified
837,Surprise
838,Happy
839,Fear
840,Surprise
841,Surprise
842,Happy
843,Not classified
844,Happy
845,Sad
846,Surprise
847,Not classified
848,Fear
849,Happy
850,Fear
851,Fear
852,Not classified
853,Not classified
854,Fear
855,Sad
856,Not classified
857,Not classified
858,Fear
859,Angry
860,Surprise
861,Fear
862,Not classified
863,Not classified
864,Sad
865,Not classified
866,Sad
867,Not classified
868,Surprise
869,Not classified
870,Surprise
871,Not classified
872,Happy
873,Fear
874,Not classified
875,Not classified
876,Happy
877,Angry
878,Surprise
879,Fear
880,Happy
881,Not classified
882,Sad
883,Fear
884,Fear
885,Happy
886,Not classified
887,Happy
888,Not classified
889,Fear
890,Happy
891,Happy
892,Surprise
893,Not classified
894,Happy
895,Fear
896,Fear
897,Not classified
898,Surprise
899,Angry
900,Not classified
901,Surprise
902,Surprise
903,Surprise
904,Not classified
905,Not classified
906,Surprise
907,Not classified
908,Not classified
909,Not classified
910,Happy
911,Not classified
912,Happy
913,Happy
914,Angry
915,Happy
916,Fear
917,Surprise
918,Not classified
919,Happy
920,Fear
921,Sad
922,Not classified
923,Surprise
924,Happy
925,Surprise
926,Not classified
927,Fear
928,Surprise
929,Angry
930,Fear
931,Fear
932,Surprise
933,Surprise
934,Surprise
935,Fear
936,Not classified
937,Happy
938,Sad
939,Surprise
940,Happy
941,Surprise
942,Fear
943,Angry
944,Not classified
945,Happy
946,Fear
947,Not classified
948,Not classified
949,Not classified
950,Not classified
951,Fear
952,Fear
953,Fear
954,Happy
955,Surprise
956,Fear
957,Fear
958,Fear
959,Not classified
960,Sad
961,Surprise
962,Surprise
963,Happy
964,Angry
965,Not classified
966,Fear
967,Fear
968,Not classified
969,Sad
970,Sad
971,Not classified
972,Not classified
973,Angry
974,Fear
975,Sad
976,Surprise
977,Not classified
978,Not classified
979,Surprise
980,Not classified
981,Happy
982,Not classified
983,Not classified
984,Happy
985,Surprise
986,Surprise
987,Sad
988,Angry
989,Not classified
990,Sad
991,Sad
992,Fear
993,Not classified
994,Sad
995,Not classified
996,Angry
997,Fear
998,Happy
999,Happy
1000,Not classified
1001,Surprise
1002,Fear
1003,Fear
1004,Not classified
1005,Not classified
1006,Happy
1007,Sad
1008,Sad
1009,Happy
1010,Happy
1011,Not classified
1012,Happy
1013,Fear
1014,Surprise
1015,Fear
1016,Surprise
1017,Surprise
1018,Happy
1019,Surprise
1020,Happy
1021,Not classified
1022,Not classified
1023,Angry
1024,Surprise
1025,Happy
1026,Fear
1027,Fear
1028,Not classified
1029,Not classified
1030,Not classified
1031,Not classified
1032,Not classified
1033,Not classified
1034,Not classified
1035,Fear
1036,Surprise
1037,Happy
1038,Happy
1039,Angry
1040,Happy
1041,Happy
1042,Not classified
1043,Happy
1044,Fear
1045,Fear
1046,Not classified
1047,Not classified
1048,Fear
1049,Sad
1050,Not classified
1051,Not classified
1052,Sad
1053,Not classified
1054,Not classified
1055,Not classified
1056,Surprise
1057,Not classified
1058,Angry
1059,Not classified
1060,Angry
1061,Not classified
1062,Not classified
1063,Angry
1064,Fear
1065,Surprise
1066,Happy
1067,Surprise
1068,Happy
1069,Happy
1070,Happy
1071,Not classified
1072,Fear
1073,Not classified
1074,Not classified
1075,Surprise
1076,Fear
1077,Happy
1078,Not classified
1079,Surprise
1080,Surprise
1081,Happy
1082,Not classified
1083,Surprise
1084,Happy
1085,Happy
1086,Happy
1087,Happy
1088,Fear
1089,Fear
1090,Happy
1091,Sad
1092,Surprise
1093,Happy
1094,Surprise
1095,Not classified
1096,Happy
1097,Not classified
1098,Not classified
1099,Angry
1100,Surprise
1101,Surprise
1102,Sad
1103,Angry
1104,Surprise
1105,Fear
1106,Angry
1107,Happy
1108,Angry
1109,Happy
1110,Fear
1111,Angry
1112,Fear
1113,Not classified
1114,Angry
1115,Happy
1116,Surprise
1117,Surprise
1118,Not classified
1119,Sad
1120,Not classified
1121,Happy
1122,Not classified
1123,Surprise
1124,Happy
1125,Not classified
1126,Surprise
1127,Not classified
1128,Not classified
1129,Not classified
1130,Fear
1131,Not classified
1132,Fear
1133,Fear
1134,Sad
1135,Surprise
1136,Not classified
1137,Surprise
1138,Sad
1139,Sad
1140,Not classified
1141,Not classified
1142,Not classified
1143,Sad
1144,Surprise
1145,Happy
1146,Not classified
1147,Surprise
1148,Fear
1149,Sad
1150,Sad
1151,Surprise
1152,Not classified
1153,Fear
1154,Not classified
1155,Surprise
1156,Not classified
1157,Not classified
1158,Sad
1159,Happy
1160,Surprise
1161,Happy
1162,Fear
1163,Surprise
1164,Happy
1165,Surprise
1166,Sad
1167,Not classified
1168,Not classified
1169,Surprise
1170,Not classified
1171,Happy
1172,Not classified
1173,Surprise
1174,Sad
1175,Fear
1176,Sad
1177,Happy
1178,Not classified
1179,Happy
1180,Surprise
1181,Happy
1182,Not classified
1183,Fear
1184,Surprise
1185,Angry
1186,Fear
1187,Not classified
1188,Surprise
1189,Happy
1190,Surprise
1191,Not classified
1192,Not classified
1193,Not classified
1194,Not classified
1195,Fear
1196,Fear
1197,Not classified
1198,Happy
1199,Happy
1200,Surprise
1201,Surprise
1202,Happy
1203,Sad
1204,Not classified
1205,Not classified
1206,Not classified
1207,Sad
1208,Fear
1209,Surprise
1210,Happy
1211,Happy
1212,Fear
1213,Not classified
1214,Happy
1215,Sad
1216,Surprise
1217,Sad
1218,Surprise
1219,Happy
1220,Not classified
1221,Fear
1222,Not classified
1223,Surprise
1224,Surprise
1225,Fear
1226,Fear
1227,Sad
1228,Happy
1229,Fear
1230,Not classified
1231,Fear
1232,Not classified
1233,Not classified
1234,Happy
1235,Angry
1236,Fear
1237,Angry
1238,Surprise
1239,Fear
1240,Not classified
1241,Surprise
1242,Angry
1243,Fear
1244,Not classified
1245,Not classified
1246,Surprise
1247,Not classified
1248,Not classified
1249,Sad
1250,Not classified
1251,Happy
1252,Surprise
1253,Angry
1254,Not classified
1255,Not classified
1256,Happy
1257,Happy
1258,Fear
1259,Happy
1260,Surprise
1261,Fear
1262,Surprise
1263,Angry
1264,Not classified
1265,Happy
1266,Surprise
1267,Not classified
1268,Happy
1269,Not classified
1270,Not classified
1271,Happy
1272,Not classified
1273,Surprise
1274,Not classified
1275,Not classified
1276,Surprise
1277,Happy
1278,Not classified
1279,Not classified
1280,Sad
1281,Surprise
1282,Fear
1283,Not classified
1284,Sad
1285,Fear
1286,Not classified
1287,Sad
1288,Surprise
1289,Sad
1290,Surprise
1291,Fear
1292,Surprise
1293,Fear
1294,Fear
1295,Angry
1296,Surprise
1297,Happy
1298,Fear
1299,Not classified
1300,Not classified
1301,Surprise
1302,Not classified
1303,Happy
1304,Not classified
1305,Not classified
1306,Not classified
1307,Surprise
1308,Fear
1309,Not classified
1310,Surprise
1311,Angry
1312,Happy
1313,Happy
1314,Surprise
1315,Not classified
1316,Fear
1317,Not classified
1318,Happy
1319,Surprise
1320,Fear
1321,Happy
1322,Not classified
1323,Not classified
1324,Fear
1325,Happy
1326,Not classified
1327,Not classified
1328,Not classified
1329,Not classified
1330,Happy
1331,Sad
1332,Not classified
1333,Not classified
1334,Sad
1335,Not classified
1336,Not classified
1337,Surprise
1338,Happy
1339,Fear
1340,Fear
1341,Not classified
1342,Happy
1343,Happy
1344,Not classified
1345,Sad
1346,Not classified
1347,Happy
1348,Sad
1349,Sad
1350,Sad
1351,Happy
1352,Not classified
1353,Not classified
1354,Happy
1355,Happy
1356,Happy
1357,Fear
1358,Happy
1359,Happy
1360,Sad
1361,Not classified
1362,Fear
1363,Surprise
1364,Angry
1365,Angry
1366,Surprise
1367,Not classified
1368,Sad
1369,Happy
1370,Not classified
1371,Surprise
1372,Happy
1373,Sad
1374,Surprise
1375,Angry
1376,Angry
1377,Not classified
1378,Surprise
1379,Not classified
1380,Not classified
1381,Sad
1382,Sad
1383,Happy
1384,Angry
1385,Surprise
1386,Happy
1387,Not classified
1388,Happy
1389,Surprise
1390,Not classified
1391,Sad
1392,Sad
1393,Happy
1394,Happy
1395,Surprise
1396,Sad
1397,Surprise
1398,Not classified
1399,Surprise
1400,Surprise
1401,Not classified
1402,Happy
1403,Fear
1404,Sad
1405,Not classified
1406,Angry
1407,Happy
1408,Fear
1409,Not classified
1410,Happy
1411,Surprise
1412,Fear
1413,Angry
1414,Not classified
1415,Surprise
1416,Happy
1417,Not classified
1418,Not classified
1419,Fear
1420,Not classified
1421,Not classified
1422,Sad
1423,Not classified
1424,Fear
1425,Happy
1426,Angry
1427,Surprise
1428,Not classified
1429,Fear
1430,Fear
1431,Surprise
1432,Happy
1433,Surprise
1434,Happy
1435,Sad
1436,Fear
1437,Not classified
1438,Not classified
1439,Angry
1440,Fear
1441,Surprise
1442,Fear
1443,Not classified
1444,Sad
1445,Happy
1446,Fear
1447,Sad
1448,Not classified
1449,Not classified
1450,Not classified
1451,Not classified
1452,Sad
1453,Fear
1454,Surprise
1455,Not classified
1456,Happy
1457,Sad
1458,Surprise
1459,Fear
1460,Surprise
1461,Surprise
1462,Fear
1463,Happy
1464,Fear
1465,Surprise
1466,Fear
1467,Not classified
1468,Happy
1469,Not classified
1470,Surprise
1471,Not classified
1472,Happy
1473,Fear
1474,Sad
1475,Surprise
1476,Sad
1477,Surprise
1478,Sad
1479,Sad
1480,Sad
1481,Surprise
1482,Surprise
1483,Surprise
1484,Happy
1485,Fear
1486,Fear
1487,Not classified
1488,Surprise
1489,Not classified
1490,Not classified
1491,Not classified
1492,Happy
1493,Not classified
1494,Sad
1495,Not classified
1496,Not classified
1497,Fear
1498,Angry
1499,Happy
1500,Happy
1501,Fear
1502,Fear
1503,Fear
1504,Happy
1505,Not classified
1506,Fear
1507,Fear
1508,Happy
1509,Fear
1510,Happy
1511,Not classified
1512,Surprise
1513,Not classified
1514,Sad
1515,Surprise
1516,Happy
1517,Fear
1518,Not classified
1519,Not classified
1520,Happy
1521,Sad
1522,Not classified
1523,Not classified
1524,Not classified
1525,Not classified
1526,Surprise
1527,Not classified
1528,Surprise
1529,Sad
1530,Fear
1531,Sad
1532,Surprise
1533,Surprise
1534,Not classified
1535,Not classified
1536,Not classified
1537,Fear
1538,Fear
1539,Fear
1540,Angry
1541,Not classified
1542,Not classified
1543,Not classified
1544,Happy
1545,Not classified
1546,Sad
1547,Not classified
1548,Sad
1549,Sad
1550,Happy
1551,Not classified
1552,Not classified
1553,Not classified
1554,Fear
1555,Surprise
1556,Happy
1557,Sad
1558,Happy
1559,Fear
1560,Happy
1561,Happy
1562,Not classified
1563,Happy
1564,Happy
1565,Happy
1566,Surprise
1567,Not classified
1568,Sad
1569,Not classified
1570,Happy
1571,Sad
1572,Surprise
1573,Surprise
1574,Fear
1575,Not classified
1576,Not classified
1577,Not classified
1578,Not classified
1579,Not classified
1580,Fear
1581,Sad
1582,Sad
1583,Sad
1584,Sad
1585,Happy
1586,Happy
1587,Not classified
1588,Not classified
1589,Fear
1590,Fear
1591,Surprise
1592,Not classified
1593,Sad
1594,Happy
1595,Sad
1596,Happy
1597,Angry
1598,Not classified
1599,Not classified
1600,Surprise
1601,Not classified
1602,Not classified
1603,Not classified
1604,Not classified
1605,Not classified
1606,Not classified
1607,Happy
1608,Sad
1609,Not classified
1610,Not classified
1611,Happy
1612,Happy
1613,Fear
1614,Surprise
1615,Happy
1616,Angry
1617,Not classified
1618,Not classified
1619,Not classified
1620,Surprise
1621,Fear
1622,Surprise
1623,Not classified
1624,Not classified
1625,Not classified
1626,Not classified
1627,Fear
1628,Not classified
1629,Not classified
1630,Not classified
1631,Sad
1632,Not classified
1633,Not classified
1634,Not classified
1635,Fear
1636,Angry
1637,Sad
1638,Not classified
1639,Not classified
1640,Fear
1641,Happy
1642,Not classified
1643,Not classified
1644,Not classified
1645,Fear
1646,Surprise
1647,Sad
1648,Not classified
1649,Fear
1650,Not classified
1651,Angry
1652,Not classified
1653,Angry
1654,Not classified
1655,Fear
1656,Not classified
1657,Surprise
1658,Angry
1659,Happy
1660,Surprise
1661,Not classified
1662,Not classified
1663,Fear
1664,Angry
1665,Fear
1666,Angry
1667,Happy
1668,Angry
1669,Not classified
1670,Not classified
1671,Not classified
1672,Not classified
1673,Not classified
1674,Sad
1675,Fear
1676,Not classified
1677,Angry
1678,Fear
1679,Not classified
1680,Fear
1681,Sad
1682,Sad
1683,Not classified
1684,Not classified
1685,Fear
1686,Not classified
1687,Not classified
1688,Sad
1689,Surprise
1690,Not classified
1691,Surprise
1692,Not classified
1693,Not classified
1694,Not classified
1695,Not classified
1696,Not classified
1697,Happy
1698,Surprise
1699,Not classified
1700,Not classified
1701,Surprise
1702,Happy
1703,Not classified
1704,Happy
1705,Not classified
1706,Not classified
1707,Surprise
1708,Happy
1709,Surprise
1710,Happy
1711,Surprise
1712,Not classified
1713,Sad
1714,Not classified
1715,Surprise
1716,Happy
1717,Fear
1718,Not classified
1719,Not classified
1720,Happy
1721,Sad
1722,Not classified
1723,Happy
1724,Angry
1725,Sad
1726,Sad
1727,Fear
1728,Happy
1729,Not classified
1730,Not classified
1731,Not classified
1732,Fear
1733,Not classified
1734,Not classified
1735,Happy
1736,Happy
1737,Fear
1738,Happy
1739,Happy
1740,Surprise
1741,Surprise
1742,Sad
1743,Happy
1744,Not classified
1745,Happy
1746,Not classified
1747,Happy
1748,Sad
1749,Not classified
1750,Sad
1751,Happy
1752,Fear
1753,Happy
1754,Sad
1755,Not classified
1756,Not classified
1757,Sad
1758,Happy
1759,Not classified
1760,Not classified
1761,Not classified
1762,Not classified
1763,Surprise
1764,Fear
1765,Happy
1766,Not classified
1767,Happy
1768,Fear
1769,Not classified
1770,Angry
1771,Angry
1772,Fear
1773,Happy
1774,Surprise
1775,Happy
1776,Not classified
1777,Sad
1778,Happy
1779,Not classified
1780,Fear
1781,Not classified
1782,Surprise
1783,Sad
1784,Happy
1785,Fear
1786,Not classified
1787,Not classified
1788,Surprise
1789,Fear
1790,Not classified
1791,Not classified
1792,Not classified
1793,Not classified
1794,Not classified
1795,Fear
1796,Happy
1797,Not classified
1798,Happy
1799,Fear
1800,Sad
1801,Not classified
1802,Fear
1803,Surprise
1804,Happy
1805,Sad
1806,Fear
1807,Not classified
1808,Sad
1809,Happy
1810,Not classified
1811,Happy
1812,Happy
1813,Happy
1814,Not classified
1815,Not classified
1816,Not classified
1817,Fear
1818,Not classified
1819,Angry
1820,Not classified
1821,Fear
1822,Happy
1823,Sad
1824,Fear
1825,Not classified
1826,Fear
1827,Happy
1828,Not classified
1829,Surprise
1830,Happy
1831,Not classified
1832,Fear
1833,Surprise
1834,Not classified
1835,Fear
1836,Sad
1837,Happy
1838,Fear
1839,Sad
1840,Not classified
1841,Happy
1842,Happy
1843,Not classified
1844,Angry
1845,Not classified
1846,Fear
1847,Surprise
1848,Fear
1849,Happy
1850,Not classified
1851,Not classified
1852,Fear
1853,Not classified
1854,Fear
1855,Not classified
1856,Fear
1857,Happy
1858,Sad
1859,Happy
1860,Sad
1861,Sad
1862,Fear
1863,Happy
1864,Not classified
1865,Fear
1866,Sad
1867,Fear
1868,Fear
1869,Not classified
1870,Happy
1871,Not classified
1872,Not classified
1873,Angry
1874,Not classified
1875,Not classified
1876,Not classified
1877,Happy
1878,Happy
1879,Fear
1880,Not classified
1881,Happy
1882,Happy
1883,Not classified
1884,Surprise
1885,Sad
1886,Sad
1887,Sad
1888,Angry
1889,Fear
1890,Fear
1891,Surprise
1892,Sad
1893,Fear
1894,Angry
1895,Not classified
1896,Not classified
1897,Not classified
1898,Not classified
1899,Happy
1900,Fear
1901,Happy
1902,Not classified
1903,Happy
1904,Fear
1905,Happy
1906,Surprise
1907,Happy
1908,Surprise
1909,Happy
1910,Fear
1911,Surprise
1912,Happy
1913,Sad
1914,Sad
1915,Happy
1916,Angry
1917,Not classified
1918,Not classified
1919,Surprise
1920,Not classified
1921,Fear
1922,Surprise
1923,Happy
1924,Happy
1925,Not classified
1926,Not classified
1927,Surprise
1928,Fear
1929,Surprise
1930,Surprise
1931,Surprise
1932,Angry
1933,Happy
1934,Fear
1935,Surprise
1936,Fear
1937,Happy
1938,Happy
1939,Angry
1940,Not classified
1941,Happy
1942,Surprise
1943,Surprise
1944,Fear
1945,Surprise
1946,Sad
1947,Surprise
1948,Not classified
1949,Fear
1950,Happy
1951,Fear
1952,Surprise
1953,Angry
1954,Not classified
1955,Not classified
1956,Fear
1957,Fear
1958,Fear
1959,Not classified
1960,Surprise
1961,Not classified
1962,Happy
1963,Happy
1964,Not classified
1965,Surprise
1966,Fear
1967,Happy
1968,Surprise
1969,Surprise
1970,Happy
1971,Happy
1972,Not classified
1973,Not classified
1974,Not classified
1975,Not classified
1976,Sad
1977,Not classified
1978,Not classified
1979,Not classified
1980,Fear
1981,Not classified
1982,Fear
1983,Not classified
1984,Not classified
1985,Not classified
1986,Surprise
1987,Fear
1988,Fear
1989,Not classified
1990,Happy
1991,Happy
1992,Not classified
1993,Angry
1994,Not classified
1995,Not classified
1996,Not classified
1997,Not classified
1998,Sad
